City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Macusani,PE,2023-02-01 03:02:05,-14.0833,-70.4333,39.61,88,100,4.99
285,Hovd,MN,2023-02-01 03:02:09,48.0056,91.6419,0.86,77,100,1.16
286,Olafsvik,IS,2023-02-01 03:02:10,64.8945,-23.7142,30.52,83,100,17.11
287,Ritchie,ZA,2023-02-01 03:02:11,-29.038,24.6028,66.6,74,18,5.95
288,Ostrovnoy,RU,2023-02-01 03:02:11,68.0531,39.5131,17.67,98,95,4.27
289,Asau,RO,2023-02-01 03:02:12,46.4333,26.4,25.72,91,79,6.29
290,Koumra,TD,2023-02-01 03:02:13,8.9126,17.5539,77.43,18,1,4.68
291,Ephrata,US,2023-02-01 03:02:14,40.1798,-76.1788,34.25,82,100,0.0
292,Noumea,NC,2023-02-01 03:02:16,-22.2763,166.4572,89.58,65,80,8.23
293,Dutlwe,BW,2023-02-01 03:02:17,-23.9833,23.9,66.99,83,85,4.88
